,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-09-05,SIN,DPS,$102,9:05,11:45,2h 40m,https://www.kayak.com/book/flight?code=GCEiRtl-H-.-COZ-Slz34a7ImCnqdurig.10124.e87dcd39ac25c854d5387990bc89094f&h=a41eb8f7ecdd&sub=E-1e920e1ecb2
1,2020-09-06,SIN,DPS,$102,5:10,7:50,2h 40m,https://www.kayak.com/book/flight?code=GCFCO97vm7.-COZ-Slz34a7ImCnqdurig.10117.84e6ba5a7a89f23124a02e87960513b3&h=8585319d17ee&sub=E-1e920e1ecb2
2,2020-09-07,SIN,DPS,$102,5:10,7:50,2h 40m,https://www.kayak.com/book/flight?code=GCGiCyFTTm.-COZ-Slz34a7ImCnqdurig.10117.05018528924188e12195e8b277bf360e&h=429f2091cfd2&sub=E-1e920e1ecb2
3,2020-09-08,SIN,DPS,$102,9:05,11:45,2h 40m,https://www.kayak.com/book/flight?code=GCHCFGmXri.-COZ-Slz34a7ImCnqdurig.10117.d392b2c3c381931edb36e07a80779f88&h=4d309d5de7a8&sub=E-1e920e1ecb2
4,2020-09-09,SIN,DPS,$235,10:00,9:35,11h 35m,https://www.kayak.com/book/flight?code=GCFiIsn3ju.Phr0MPX3rp0mFcdAejOqIg.23415.49c79f2dcbac9b569035201a5f0f4b8f&h=b6cea387d945&_kw_pbranded=true&sub=E-12f3c3645cd
5,2020-09-10,SIN,DPS,$312,10:00,8:15,10h 15m,https://www.kayak.com/book/flight?code=GCFiSSLkGE.Phr0MPX3rp0mFcdAejOqIg.31115.b60865a24a812ed35ccff83be314c3ce&h=122cf10a8c5c&_kw_pbranded=true&sub=E-12f3c3645cd
6,2020-09-11,SIN,DPS,$115,3:50,6:35,2h 45m,https://www.kayak.com/book/flight?code=GCGCEr-ZIF.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.11426.43d36d2954cd2650f1b34631ec136d56&h=b90aec10a165&_kw_pbranded=true&sub=E0fedb408728
7,2020-09-12,SIN,DPS,$115,10:55,1:40,2h 45m,https://www.kayak.com/book/flight?code=GCEiM6KhxK.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.11426.bdf7a83bea2507b78a025827c3070926&h=c2851535a379&_kw_pbranded=true&sub=E0fedb408728
8,2020-09-13,SIN,DPS,$115,7:50,10:35,2h 45m,https://www.kayak.com/book/flight?code=GCHCO0tKvA.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.11426.e8c6158dff2c8b911d2cb2e133ba7b32&h=b22cb934c4ee&_kw_pbranded=true&sub=E0fedb408728
9,2020-09-14,SIN,DPS,$115,10:55,1:40,2h 45m,https://www.kayak.com/book/flight?code=GCGCFUR6IM.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.11426.2e9eb3d586b79fe14ff1c3344eaef4aa&h=7bd184c3c388&_kw_pbranded=true&sub=E0fedb408728
10,2020-09-15,SIN,DPS,$115,10:55,1:40,2h 45m,https://www.kayak.com/book/flight?code=GCHCI6xO3b.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.11426.6980694ef809aeea816b496c331c4bc2&h=5d3c5982f7b7&_kw_pbranded=true&sub=E0fedb408728
11,2020-09-16,SIN,DPS,$115,10:55,1:40,2h 45m,https://www.kayak.com/book/flight?code=GCECKtOFiP.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.11426.7fbd504245d5f0589f8443bfaf09b91f&h=2a0c07d485ce&_kw_pbranded=true&sub=E0fedb408728
12,2020-09-17,SIN,DPS,$115,10:55,1:40,2h 45m,https://www.kayak.com/book/flight?code=GCFCO6MZDO.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.11426.5367180d874a180119d16f89eb757dea&h=908d09a783fc&_kw_pbranded=true&sub=E0fedb408728
13,2020-09-18,SIN,DPS,$115,10:55,1:40,2h 45m,https://www.kayak.com/book/flight?code=GCFCQtuytn.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.11426.45f8bb339f4f366fb509339fc71f284e&h=4948318652b7&_kw_pbranded=true&sub=E0fedb408728
