,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-06-20,SIN,HKG,$175,8:10,12:15,4h 05m,https://www.kayak.com/book/flight?code=GMFiILS56U.-COZ-Slz34a7ImCnqdurig.17465.4f028fb7051a7e2d6ba86067c84f40b7&h=1fbbed8c06f9&sub=E-1e920e1ecb2
1,2020-06-21,SIN,HKG,$111,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GMECI3cRvq.Is689hNqMK_nx4rD09fUPg.11024.0ca9756ae60013b4177c1b25c3ce7b91&h=fc0dd2420ef8&sub=E-108910d4737
2,2020-06-22,SIN,HKG,$175,8:10,12:15,4h 05m,https://www.kayak.com/book/flight?code=GMFiSZu-Yp.-COZ-Slz34a7ImCnqdurig.17465.0670327b4e773b8b89577b851c1951a7&h=8d91f3332f0b&sub=E-1e920e1ecb2
3,2020-06-23,SIN,HKG,$111,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GMHCK8DpnE.sJcqRKrFJFQ.11040.2e6a00f99cef9b9f73ad6d5bcf136050&h=d3c2a502ea39&sub=E013fedbb7aa
4,2020-06-24,SIN,HKG,$175,8:10,12:15,4h 05m,https://www.kayak.com/book/flight?code=GMHiPdVMIk.-COZ-Slz34a7ImCnqdurig.17481.db03207f4f6d64b7dd347c54b6bde679&h=9c5abafd5c1f&sub=E-1e920e1ecb2
5,2020-06-25,SIN,HKG,$175,8:10,12:15,4h 05m,https://www.kayak.com/book/flight?code=GMHiJ_oFhH.-COZ-Slz34a7ImCnqdurig.17481.b536b9c98d4341cc504d57e286845840&h=8e1513519ca3&sub=E-1e920e1ecb2
6,2020-06-26,SIN,HKG,$111,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GMGiMkREPE.sJcqRKrFJFQ.11040.b77fe2c6d951f0762f9ae7e700bf584d&h=d44587445d90&sub=E013fedbb7aa
7,2020-06-27,SIN,HKG,$202,8:10,12:15,4h 05m,https://www.kayak.com/book/flight?code=GMECNfg2Ba.-COZ-Slz34a7ImCnqdurig.20181.ed516a2d7cdf76dc812ccb805e8ac49c&h=7b25a99e4c21&sub=E-1e920e1ecb2
8,2020-06-28,SIN,HKG,$111,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GMEiOQV_lh.6We7wBYoN-cNUvH8T-y68A.11014.9223d1ca1a9742dd019c1e80427bfcc3&h=4643781c79da&sub=E-139119fa0bd
9,2020-06-29,SIN,HKG,$175,8:10,12:15,4h 05m,https://www.kayak.com/book/flight?code=GMGCLOHhW6.-COZ-Slz34a7ImCnqdurig.17481.d1826eff78a9014355538aa43136f5b1&h=6a3bfd4ed4c7&sub=E-1e920e1ecb2
10,2020-06-30,SIN,HKG,$117,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GMECJOppYP.6Ky586fB8Xouqge7lldQQw.11650.86182c9ef6efb58a53842e6e6b9b085d&h=4a49c10a6d7e&sub=E-1f08093e2f1
11,2020-07-01,SIN,HKG,$95,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GMFCQLxNLS.6Ky586fB8Xouqge7lldQQw.9448.f484c40c89c904903772a7a8c9326449&h=cb7bc2c76502&sub=E-1f08093e2f1
12,2020-07-02,SIN,HKG,$95,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GMGCMKV4bz.6Ky586fB8Xouqge7lldQQw.9448.e5b760850ea231a0f84a14a72a96dd5c&h=f847ac07fbc0&sub=E-1f08093e2f1
13,2020-07-03,SIN,HKG,$95,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GMFCPoRYf0.6Ky586fB8Xouqge7lldQQw.9448.61b12e0b5f06eeb6c02259bd414e5e58&h=745e5fab79a7&sub=E-1f08093e2f1
