,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-08-15,SIN,HKG,$140,5:45,9:25,3h 40m,https://www.kayak.com/book/flight?code=GvEiC-lizK.3trpTcyJlBVFj024N3_sTg.13988.4479db8c89943540d6bfb2eca5198e2c&h=2e267fd1fec7&sub=E-1c51e2eae46
1,2020-08-16,SIN,HKG,$127,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GvFiHIC4PL.6We7wBYoN-cNUvH8T-y68A.12693.fa47b4bb78a570694ebf6ffb69e6bf28&h=4533d8e6bc0a&sub=E-139119fa0bd
2,2020-08-17,SIN,HKG,$140,5:45,9:25,3h 40m,https://www.kayak.com/book/flight?code=GvFCA6eJ6O.3trpTcyJlBVFj024N3_sTg.13988.96d58c751b104496cf747bb775cb5f2b&h=f4f81189ccc1&sub=E-1c51e2eae46
3,2020-08-18,SIN,HKG,$127,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GvFCQ9DJU5.6We7wBYoN-cNUvH8T-y68A.12686.ed0a5428f1e70584c8ceb02697c83280&h=802ac74d343d&sub=E-139119fa0bd
4,2020-08-19,SIN,HKG,$140,5:45,9:25,3h 40m,https://www.kayak.com/book/flight?code=GvHiOTPbDb.3trpTcyJlBVFj024N3_sTg.13988.913a5b969927c4f3cb45df32cf6ff6ce&h=c65df4f7ea91&sub=E-1c51e2eae46
5,2020-08-20,SIN,HKG,$178,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GvHCIpUqtc.FEHQgqOye8l9cbIfBvnkohRd8SgVjFCz.17788.9347494ca2b8b581c57a60f226ea1837&h=dd4e4ebc8849&_kw_pbranded=true&sub=E-15e301330f9
6,2020-08-21,SIN,HKG,$127,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GvFCCi9rWb.6We7wBYoN-cNUvH8T-y68A.12686.2e291822d939f2e4480d0d6ed0ef26e4&h=bbace922758a&sub=E-139119fa0bd
7,2020-08-22,SIN,HKG,$140,5:45,9:25,3h 40m,https://www.kayak.com/book/flight?code=GvGiBqiROz.3trpTcyJlBVFj024N3_sTg.13988.296c727605c4248a3b1e36093199259e&h=fb9242354239&sub=E-1c51e2eae46
8,2020-08-23,SIN,HKG,$133,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GvHiOwMWew.6Ky586fB8Xouqge7lldQQw.13283.88c9261642daef07e65af0f69bde45a2&h=ccd6715a01e7&sub=E-1f08093e2f1
9,2020-08-24,SIN,HKG,$140,5:45,9:25,3h 40m,https://www.kayak.com/book/flight?code=GvEiNFRoCr.3trpTcyJlBVFj024N3_sTg.13988.482308e402175e6783907ced228c321e&h=0cb21009a8d5&sub=E-1c51e2eae46
10,2020-08-25,SIN,HKG,$127,2:15,6:20,4h 05m,https://www.kayak.com/book/flight?code=GvFiJPQB6H.6We7wBYoN-cNUvH8T-y68A.12686.5c64f7d29510b8337475b31c6b0a94e4&h=4320298693cc&sub=E-139119fa0bd
11,2020-08-26,SIN,HKG,$176,7:25,11:20,3h 55m,https://www.kayak.com/book/flight?code=GvHCLsb9h7.jRteWfHQYoYDzQq2dWkU9A.17580.d27b1018a03b309400a30f2e704e0139&h=3516b6108396&_kw_pbranded=true&sub=E-1df8488dae4
12,2020-08-27,SIN,HKG,$178,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GvEiMPhf2T.FEHQgqOye8l9cbIfBvnkohRd8SgVjFCz.17788.0492afecb2b8341555fde5c616b3b394&h=48918052cd1e&_kw_pbranded=true&sub=E-15e301330f9
13,2020-08-28,SIN,HKG,$128,6:00,10:05,4h 05m,https://www.kayak.com/book/flight?code=GvEiQcEYMw.6We7wBYoN-cNUvH8T-y68A.12704.84b628b5ddcc1e252020c72ee1d6763e&h=e4d66d277507&sub=E-139119fa0bd
