,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-08-21,SIN,KUL,$63,5:55,7:00,1h 05m,https://www.kayak.com/book/flight?code=GBFiP5NIdq.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.c583aa6b24bd41a9b5af9a06c07111db&h=c734959610a9&_kw_pbranded=true&sub=E0fedb408728
1,2020-08-22,SIN,KUL,$63,7:05,8:10,1h 05m,https://www.kayak.com/book/flight?code=GBHCPtwg8U.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.b5ca0c1fe1dcc560b276819fc9ecbd75&h=529e086618e8&_kw_pbranded=true&sub=E0fedb408728
2,2020-08-23,SIN,KUL,$63,7:35,8:40,1h 05m,https://www.kayak.com/book/flight?code=GBFiDua3JM.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.81593d3086b66533c7e5978c99536cb0&h=298b927afc92&_kw_pbranded=true&sub=E0fedb408728
3,2020-08-24,SIN,KUL,$63,9:35,10:40,1h 05m,https://www.kayak.com/book/flight?code=GBHiF3HLMG.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.282a60fd7cb0369301c3e7a1e62c0a2e&h=19dfda9d110f&_kw_pbranded=true&sub=E0fedb408728
4,2020-08-25,SIN,KUL,$63,5:55,7:00,1h 05m,https://www.kayak.com/book/flight?code=GBHCFmDhQ0.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.7cce2892215466f0404f2075773a5224&h=b6cfe1bad632&_kw_pbranded=true&sub=E0fedb408728
5,2020-08-26,SIN,KUL,$63,12:50,1:55,1h 05m,https://www.kayak.com/book/flight?code=GBFiPCYVae.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.3c990025d3aaf6b07347939f6c330211&h=24c4639c42ab&_kw_pbranded=true&sub=E0fedb408728
6,2020-08-27,SIN,KUL,$63,7:05,8:10,1h 05m,https://www.kayak.com/book/flight?code=GBGCOt7TRt.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.2f24a644a5e91541ab8e3b2514fafe56&h=1256c970a2e2&_kw_pbranded=true&sub=E0fedb408728
7,2020-08-28,SIN,KUL,$63,5:55,7:00,1h 05m,https://www.kayak.com/book/flight?code=GBEiRA8GZP.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.c4f9bfecc60ce9446615a68f7e2d89ec&h=5ed3a34e3675&_kw_pbranded=true&sub=E0fedb408728
8,2020-08-29,SIN,KUL,$63,7:05,8:10,1h 05m,https://www.kayak.com/book/flight?code=GBEiO9qmuw.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.b6eaf5b69b9e8765581d56181ec769b1&h=f685c4024590&_kw_pbranded=true&sub=E0fedb408728
9,2020-08-30,SIN,KUL,$63,5:55,7:00,1h 05m,https://www.kayak.com/book/flight?code=GBFiEyoZUq.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.8d077c5b47c6fe8a8741664569ef6128&h=b032f486bdf4&_kw_pbranded=true&sub=E0fedb408728
10,2020-08-31,SIN,KUL,$63,7:35,8:40,1h 05m,https://www.kayak.com/book/flight?code=GBHCF1zINz.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6235.9c7cd4469fead8949d54f96810984c02&h=d18c21a10742&_kw_pbranded=true&sub=E0fedb408728
11,2020-09-01,SIN,KUL,$61,7:35,8:40,1h 05m,https://www.kayak.com/book/flight?code=GBFiSQz4cM.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6013.7022b8292d5cec4cf9df0c2dfa179d1a&h=28ae246e9e58&_kw_pbranded=true&sub=E0fedb408728
12,2020-09-02,SIN,KUL,$55,5:00,6:05,1h 05m,https://www.kayak.com/book/flight?code=GCFiGYYZ34.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.5484.01573da586c3dc8c4b61c3f20a5ecdc0&h=d55aafbe45cd&sub=E-182a03a4389
13,2020-09-03,SIN,KUL,$61,7:35,8:40,1h 05m,https://www.kayak.com/book/flight?code=GCFiIoq0TW.1KIA9CPVmMWK1yWXnCZuC7aYAeeTFjgE.6013.8081b9a8e8966b710504b0406d3f123f&h=d0fd91426439&_kw_pbranded=true&sub=E0fedb408728
