,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-07-29,SIN,LON,$393,3:00,12:25,16h 25m,https://www.kayak.com/book/flight?code=GtHCI0uBtR.-COZ-Slz34a7ImCnqdurig.39201.43f1aaa1fb01f0f7c5a1e2fec4eeb7b6&h=0a2eb06f01c0&sub=E-1e920e1ecb2
1,2020-07-30,SIN,LON,$393,3:00,12:25,16h 25m,https://www.kayak.com/book/flight?code=GtEiPLQjZv.-COZ-Slz34a7ImCnqdurig.39201.638f8135878d4a643f5fa34a859221ea&h=a05e806a6718&sub=E-1e920e1ecb2
2,2020-07-31,SIN,LON,$419,3:00,12:25,16h 25m,https://www.kayak.com/book/flight?code=GtGiGqi-cT.-COZ-Slz34a7ImCnqdurig.41821.fbf286f4648ca5e5f0c01fab564a5df6&h=a2eac1384618&sub=E-1e920e1ecb2
3,2020-08-01,SIN,LON,$414,11:40,8:40,16h 00m,https://www.kayak.com/book/flight?code=GtGiLRIlMI.G9QQN_lF2QPBDARZyLA7ng.41311.90e5efff4b18523f81dbc28e40130f2e&h=b48369fd703f&sub=E-15445dd908f
4,2020-08-02,SIN,LON,$330,11:25,9:10,16h 45m,https://www.kayak.com/book/flight?code=GtFiMieOSa._EXVo5H1FyPBDARZyLA7ng.32968.b9f3d261298a06d20e663b6c109cd433&h=9871718b5cec&sub=E-1b2ac7b4350
5,2020-08-03,SIN,LON,$330,11:25,9:10,16h 45m,https://www.kayak.com/book/flight?code=GuGCLJFCdb._EXVo5H1FyPBDARZyLA7ng.32968.c07d51b21c7d311776bef8eec5daf51f&h=d7e71d6c0965&sub=E-1b2ac7b4350
6,2020-08-04,SIN,LON,$413,9:25,6:20,15h 55m,https://www.kayak.com/book/flight?code=GuFiEJhozw.6We7wBYoN-cNUvH8T-y68A.41283.0dfc74d27dd554ae6ea7a1b1a4019067&h=e12b30dca619&sub=E-139119fa0bd
7,2020-08-05,SIN,LON,$330,11:25,9:10,16h 45m,https://www.kayak.com/book/flight?code=GuFiQv38xe._EXVo5H1FyPBDARZyLA7ng.32968.89f43171c8ad748c8928e756b8e6c1a6&h=67a5c26cb807&sub=E-1b2ac7b4350
8,2020-08-06,SIN,LON,$412,9:25,6:20,15h 55m,https://www.kayak.com/book/flight?code=GuGCEdcFIh.6We7wBYoN-cNUvH8T-y68A.41173.2b8e0232d94ee11ac7051c8f9c88bf08&h=d4e1212fa317&sub=E-139119fa0bd
9,2020-08-07,SIN,LON,$395,11:30,8:10,15h 40m,https://www.kayak.com/book/flight?code=GuHCKUabkA.gwDiDTziODsKCwPwRb8L4Q.39451.a26f32e224c0de1dac95dc1f3ee38b4a&h=84f20c2d8639&sub=E-111205da9a8
10,2020-08-08,SIN,LON,$436,11:30,8:10,15h 40m,https://www.kayak.com/book/flight?code=GuEiSLlPuB.k__A2aLI5Kc.43507.52dff4655881b287f8d4796068c1b4d2&h=84491803de02&sub=E-1056e4f4f1c
11,2020-08-09,SIN,LON,$330,11:25,9:10,16h 45m,https://www.kayak.com/book/flight?code=GuHiOj_e83._EXVo5H1FyPBDARZyLA7ng.32968.8c03cf80d943096f6c94d19cff1d881d&h=2304410e6e38&sub=E-1b2ac7b4350
12,2020-08-10,SIN,LON,$395,11:30,1:00,20h 30m,https://www.kayak.com/book/flight?code=GuFiPMAuUN.gwDiDTziODsKCwPwRb8L4Q.39451.b77dcc45eef9052743816a12774ef4d6&h=e7b6b6cb7ac8&sub=E-111205da9a8
13,2020-08-11,SIN,LON,$395,11:30,8:10,15h 40m,https://www.kayak.com/book/flight?code=GuEiSdZXC_.gwDiDTziODsKCwPwRb8L4Q.39451.fbb051eaead3404318e180c4255bc17a&h=10d634badeb2&sub=E-111205da9a8
