,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-08-24,SIN,TYO,$330,12:25,8:30,7h 05m,https://www.kayak.com/book/flight?code=GEGCAOUXfO.jRteWfHQYoYDzQq2dWkU9A.32996.62018827416d7b735f6935bb9c9858c9&h=410341e76d09&_kw_pbranded=true&sub=E-1df8488dae4
1,2020-08-25,SIN,TYO,$259,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GEECMMTmp6.-COZ-Slz34a7ImCnqdurig.25815.b801b617b4c0237875a4403a5bc4b38a&h=c0128cd8d026&sub=E-1e920e1ecb2
2,2020-08-26,SIN,TYO,$330,12:25,8:30,7h 05m,https://www.kayak.com/book/flight?code=GEHCLaQBp7.jRteWfHQYoYDzQq2dWkU9A.32996.ec4795ef7d9e65c03c40aa37bbd77375&h=eeacbe757c56&_kw_pbranded=true&sub=E-1df8488dae4
3,2020-08-27,SIN,TYO,$256,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GEFCD4Z7W1.6We7wBYoN-cNUvH8T-y68A.25520.bdb22528eb62e05b06cbd7b72365fea2&h=4aaec509dbdc&sub=E-139119fa0bd
4,2020-08-28,SIN,TYO,$516,6:00,4:05,21h 05m,https://www.kayak.com/book/flight?code=GEFiIoXb4J.6We7wBYoN-cNUvH8T-y68A.51581.697df74d63988a30b4048cbfe9de73fa&h=87da4312ba0b&sub=E-139119fa0bd
5,2020-08-29,SIN,TYO,$256,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GEFCAaw_-4.6We7wBYoN-cNUvH8T-y68A.25520.29abda72195ead4e6b560ca579b68af5&h=d8ad5d59ad7f&sub=E-139119fa0bd
6,2020-08-30,SIN,TYO,$330,12:25,8:30,7h 05m,https://www.kayak.com/book/flight?code=GEECMBWmlY.jRteWfHQYoYDzQq2dWkU9A.32996.f360ee39c2c305b32628679a439b108b&h=490730c3a9cf&_kw_pbranded=true&sub=E-1df8488dae4
7,2020-08-31,SIN,TYO,$373,12:25,8:30,7h 05m,https://www.kayak.com/book/flight?code=GEEiRGCMiI.vZik3Z2arcoEdn9PX-8xhQ.37249.be3ab19c54b89114905f8800ce05c9ed&h=81ddd341e182&sub=E-1b0916b21a1
8,2020-09-01,SIN,TYO,$238,2:00,2:25,11h 25m,https://www.kayak.com/book/flight?code=GEGCGA7CTH.6We7wBYoN-cNUvH8T-y68A.23786.4543e99eab62bc07bf0f50f8b85c138e&h=2a27e5d9d16c&sub=E-139119fa0bd
9,2020-09-02,SIN,TYO,$317,2:15,12:10,20h 55m,https://www.kayak.com/book/flight?code=GEGCLmUASq.dBmQ8fgUOlgKCwPwRb8L4Q.31671.6b61e46442a7aac1806ba2a217444247&h=03e83dbc4803&sub=E-14762c8f799
10,2020-09-03,SIN,TYO,$238,2:00,2:25,11h 25m,https://www.kayak.com/book/flight?code=GEECNxDg8a.6We7wBYoN-cNUvH8T-y68A.23786.6afb9da73d3159c50971916269f84c30&h=292eab76ee21&sub=E-139119fa0bd
11,2020-09-04,SIN,TYO,$558,1:10,12:35,10h 25m,https://www.kayak.com/book/flight?code=GEHCMMlHPS.05bdAFnsgyzBDARZyLA7ng.55710.1347dbbd59bb21b88e9f09e956a5fe76&h=316914e13e36&sub=E-1eb12285bcf
12,2020-09-05,SIN,TYO,$264,12:25,8:30,7h 05m,https://www.kayak.com/book/flight?code=GEFiIBnvQ9.PNmDgAgXK4XBDARZyLA7ng.26396.f9f3bafac6e42f260f14c4dc0ced707f&h=0a982ece3d96&sub=E-1821dee3134
13,2020-09-06,SIN,TYO,$257,12:25,8:30,7h 05m,https://www.kayak.com/book/flight?code=GEECLnhhWl.PNmDgAgXK4XBDARZyLA7ng.25696.015637f76fe1ad0b8aa480a05b5fde6c&h=8059f690b91f&sub=E-1821dee3134
