,Date,Origin,Destination,Price,Departure Time,Arrival Time,Flight duration,URL
0,2020-08-27,SIN,TYO,$258,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GCEiIWYoyS.6We7wBYoN-cNUvH8T-y68A.25701.bdb22528eb62e05b06cbd7b72365fea2&h=22c5992f4a1c&sub=E-139119fa0bd
1,2020-08-28,SIN,TYO,$448,10:50,11:50,12h 00m,https://www.kayak.com/book/flight?code=GCFiPBWHl4.6fzR64IlVNN068dNKXt9eA.44793.c99079494c18d0b575ec7e3680e49a9e&h=bff9eea3cf90&sub=E-144ad83168d
2,2020-08-29,SIN,TYO,$258,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GCHiPiClPp.6We7wBYoN-cNUvH8T-y68A.25701.29abda72195ead4e6b560ca579b68af5&h=3b127b2e8bb2&sub=E-139119fa0bd
3,2020-08-30,SIN,TYO,$348,12:25,8:30,7h 05m,https://www.kayak.com/book/flight?code=GCHiN9Es54.NGoTvF-SorQEdn9PX-8xhQ.34762.f360ee39c2c305b32628679a439b108b&h=7bcc013618a4&sub=E-1928989169d
4,2020-08-31,SIN,TYO,$521,2:15,12:10,20h 55m,https://www.kayak.com/book/flight?code=GCHiPOQDEP.dBmQ8fgUOlgKCwPwRb8L4Q.52083.28c6ea390d3d21025fb4f871c27962f4&h=3fa2bd408c62&sub=E-14762c8f799
5,2020-09-01,SIN,TYO,$269,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GCHCJJIf0v.qrlKXTDbgHHBDARZyLA7ng.26896.fb4095436184a162c79867586bd53aff&h=c44663e3a8c4&sub=E-182139963ef
6,2020-09-02,SIN,TYO,$318,2:15,12:10,20h 55m,https://www.kayak.com/book/flight?code=GCGCI0NU0K.dBmQ8fgUOlgKCwPwRb8L4Q.31783.6b61e46442a7aac1806ba2a217444247&h=54e3a47a61ec&sub=E-14762c8f799
7,2020-09-03,SIN,TYO,$258,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GCFiQfEWHg.6We7wBYoN-cNUvH8T-y68A.25701.5c2b61cf7bd8ebc659b5fc6d214242b5&h=6d3445c5d2ab&sub=E-139119fa0bd
8,2020-09-04,SIN,TYO,$269,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GCHiMcZOcw.ZpbE3-UY8hoNUvH8T-y68A.26896.b3eaad2a615cd9370c35248c728945d4&h=3be77409df4c&sub=E-14eae43ce6c
9,2020-09-05,SIN,TYO,$271,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GCGiBZVybW.G9QQN_lF2QPBDARZyLA7ng.27002.ee7008a34fb1e1e82c8a0f8578b7b59a&h=bb48a7284751&sub=E-1f82df2596e
10,2020-09-06,SIN,TYO,$258,12:25,8:30,7h 05m,https://www.kayak.com/book/flight?code=GCFiGhyvMQ.PNmDgAgXK4XBDARZyLA7ng.25702.015637f76fe1ad0b8aa480a05b5fde6c&h=4a27387f6619&sub=E-1821dee3134
11,2020-09-07,SIN,TYO,$269,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GCGiIUJKxg.ZpbE3-UY8hoNUvH8T-y68A.26896.213faecd4f305d359749386604121425&h=92d653969d92&sub=E-14eae43ce6c
12,2020-09-08,SIN,TYO,$254,6:10,2:20,7h 10m,https://www.kayak.com/book/flight?code=GCEiSYkr8j.NGoTvF-SorQEdn9PX-8xhQ.25357.d986117c327ca25099529049451c6a40&h=86f1075e0bac&sub=E-1928989169d
13,2020-09-09,SIN,TYO,$136,11:30,10:30,10h 00m,https://www.kayak.com/book/flight?code=GCGCK18oF8.BximiDHCFxuVG46jPA6m1w.13506.5b5e91f034bef3f4b64d3ed41b420828&h=583d596db161&sub=E-1789cae2134
